600000 浦发银行 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2015-09-02	8.86	9.18	8.73	8.85	255045273	3831534848.00
2015-09-07	8.74	8.93	8.34	8.58	287948628	4206785536.00
2015-09-08	8.59	9.04	8.38	8.97	330814193	4893450752.00
2015-09-09	8.86	9.11	8.86	9.04	241917533	3653652224.00
2015-09-10	8.97	9.11	8.90	9.10	205749026	3113081088.00
2015-09-11	9.17	9.39	9.14	9.32	288708558	4469128192.00
2015-09-14	9.28	9.59	8.88	9.58	183936607	2836987904.00
2015-09-15	9.30	9.31	9.09	9.25	107602458	1658227584.00
2015-09-16	9.14	9.48	8.95	9.23	74128982	1135218688.00
2015-09-17	9.16	9.25	9.00	9.00	50848655	778452736.00
2015-09-18	9.04	9.13	8.94	8.95	40899248	619915776.00
2015-09-21	8.90	8.98	8.81	8.90	40488316	604841984.00
2015-09-22	8.90	9.09	8.90	8.96	38673835	584644928.00
2015-09-23	8.86	8.93	8.70	8.89	54580634	810914240.00
2015-09-24	8.89	9.14	8.83	9.11	78862572	1192962816.00
2015-09-25	9.03	9.36	9.03	9.34	136070895	2096781824.00
2015-09-28	9.31	9.60	9.22	9.57	91425816	1436492544.00
2015-09-29	9.48	9.62	9.39	9.60	114190253	1807681536.00
2015-09-30	9.59	10.08	9.55	10.07	211038123	3452096768.00
2015-10-08	10.18	10.18	9.51	9.53	140057148	2277284608.00
2015-10-09	9.60	9.73	9.52	9.55	41525835	663144768.00
2015-10-12	9.55	9.80	9.44	9.67	93633306	1497165824.00
2015-10-13	9.61	9.70	9.52	9.60	54698799	873290880.00
2015-10-14	9.49	9.69	9.49	9.55	44297812	706211840.00
2015-10-26	9.65	10.02	9.65	9.82	101041055	1648964992.00
2015-10-27	9.79	9.94	9.73	9.85	74933996	1223267200.00
2015-10-28	9.81	10.00	9.69	9.84	74226285	1217460736.00
2015-10-29	9.83	10.07	9.79	10.04	75760565	1251114496.00
